year,wrkstat,marital,childs,age,educ,sex,race
1972,working full time,married,2.0,51.0,12.0,female,white
1972,keeping house,widowed,2.0,76.0,8.0,female,white
1972,working full time,married,2.0,53.0,14.0,male,white
1972,working full time,married,2.0,39.0,8.0,male,white
1972,keeping house,married,0.0,64.0,8.0,female,white
1972,keeping house,married,4.0,50.0,8.0,female,white
1972,keeping house,married,0.0,27.0,12.0,female,white
1972,working full time,never married,0.0,25.0,14.0,male,white
1972,working part time,married,4.0,49.0,12.0,male,white
1972,working full time,married,4.0,40.0,9.0,male,white
1972,working full time,married,4.0,43.0,8.0,male,white
1972,working full time,married,3.0,46.0,10.0,male,white
1972,working full time,married,5.0,37.0,14.0,male,white
1972,working full time,married,2.0,46.0,9.0,male,white
1972,keeping house,married,1.0,22.0,12.0,female,white
1972,keeping house,married,5.0,53.0,10.0,female,white
1972,working full time,married,5.0,35.0,12.0,male,white
1972,keeping house,married,3.0,31.0,14.0,female,white
1972,keeping house,married,0.0,30.0,12.0,female,white
1972,keeping house,married,3.0,37.0,12.0,female,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,4.0,57.0,11.0,female,white
1972,"unemployed, laid off, looking for work",married,1.0,39.0,12.0,male,white
1972,keeping house,married,1.0,62.0,9.0,female,white
1972,working full time,married,5.0,51.0,12.0,male,white
1972,working full time,married,6.0,43.0,11.0,male,white
1972,working full time,married,4.0,39.0,12.0,male,white
1972,keeping house,married,2.0,52.0,8.0,female,white
1972,working full time,married,2.0,30.0,12.0,male,white
1972,working part time,married,0.0,47.0,12.0,female,white
1972,working full time,never married,0.0,31.0,12.0,female,white
1972,"unemployed, laid off, looking for work",married,0.0,25.0,16.0,male,white
1972,working full time,married,1.0,45.0,7.0,male,white
1972,keeping house,married,2.0,30.0,12.0,female,white
1972,retired,married,2.0,68.0,8.0,male,white
1972,keeping house,married,1.0,63.0,11.0,female,white
1972,working full time,never married,0.0,19.0,12.0,male,white
1972,working part time,never married,0.0,23.0,16.0,male,white
1972,keeping house,married,1.0,46.0,10.0,female,white
1972,keeping house,widowed,1.0,55.0,8.0,female,white
1972,working full time,never married,1.0,22.0,14.0,male,white
1972,working full time,never married,0.0,55.0,12.0,female,white
1972,working full time,married,5.0,44.0,7.0,male,white
1972,working part time,married,2.0,41.0,12.0,female,white
1972,working full time,divorced,0.0,49.0,15.0,male,white
1972,keeping house,married,2.0,28.0,15.0,female,white
1972,in school,never married,0.0,21.0,14.0,male,white
1972,working full time,married,0.0,26.0,17.0,male,white
1972,working full time,married,0.0,31.0,20.0,female,white
1972,working part time,never married,0.0,28.0,18.0,female,white
1972,working full time,never married,0.0,20.0,14.0,female,black
1972,working full time,married,2.0,57.0,12.0,female,white
1972,keeping house,married,3.0,58.0,13.0,female,white
1972,working full time,married,3.0,54.0,14.0,male,white
1972,keeping house,married,2.0,35.0,16.0,female,white
1972,working full time,married,3.0,40.0,14.0,male,white
1972,working full time,married,3.0,57.0,15.0,male,white
1972,keeping house,married,2.0,64.0,16.0,female,white
1972,working full time,married,2.0,34.0,15.0,male,white
1972,keeping house,married,2.0,25.0,12.0,female,white
1972,working full time,married,1.0,28.0,9.0,male,white
1972,working full time,married,3.0,41.0,13.0,male,white
1972,keeping house,married,4.0,36.0,12.0,female,white
1972,working full time,married,1.0,31.0,15.0,male,white
1972,working full time,married,4.0,45.0,12.0,male,white
1972,keeping house,married,8.0,74.0,8.0,female,white
1972,working full time,divorced,0.0,64.0,12.0,female,white
1972,working part time,never married,0.0,23.0,13.0,female,white
1972,"unemployed, laid off, looking for work",divorced,0.0,27.0,16.0,female,white
1972,other,divorced,4.0,42.0,13.0,male,white
1972,working full time,divorced,7.0,47.0,3.0,male,black
1972,"unemployed, laid off, looking for work",never married,0.0,26.0,12.0,male,black
1972,keeping house,married,3.0,34.0,10.0,female,white
1972,working full time,married,1.0,52.0,14.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",divorced,3.0,24.0,12.0,male,white
1972,keeping house,separated,2.0,36.0,14.0,female,white
1972,"unemployed, laid off, looking for work",married,1.0,25.0,8.0,male,black
1972,keeping house,separated,6.0,46.0,11.0,female,black
1972,keeping house,married,8.0,54.0,2.0,female,black
1972,keeping house,separated,3.0,27.0,12.0,female,black
1972,keeping house,never married,2.0,20.0,12.0,female,black
1972,working full time,married,3.0,53.0,6.0,male,black
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,7.0,47.0,3.0,male,black
1972,retired,widowed,0.0,70.0,8.0,male,black
1972,keeping house,married,2.0,69.0,8.0,female,white
1972,working full time,married,1.0,49.0,12.0,female,white
1972,working part time,married,1.0,29.0,16.0,female,white
1972,keeping house,married,3.0,48.0,12.0,female,white
1972,retired,married,0.0,67.0,9.0,female,white
1972,in school,divorced,0.0,22.0,12.0,male,white
1972,retired,married,2.0,75.0,6.0,male,white
1972,working full time,married,3.0,38.0,12.0,male,white
1972,working full time,married,2.0,46.0,15.0,male,white
1972,keeping house,married,2.0,63.0,8.0,female,white
1972,keeping house,married,2.0,34.0,11.0,female,white
1972,working full time,married,6.0,57.0,4.0,male,white
1972,working full time,never married,0.0,22.0,13.0,female,white
1972,working full time,married,3.0,46.0,8.0,male,white
1972,keeping house,married,3.0,73.0,11.0,female,white
1972,retired,married,0.0,73.0,12.0,male,white
1972,working full time,married,3.0,53.0,12.0,male,white
1972,keeping house,widowed,2.0,84.0,12.0,female,white
1972,working full time,married,1.0,27.0,14.0,male,white
1972,retired,divorced,2.0,69.0,10.0,female,white
1972,keeping house,widowed,4.0,82.0,5.0,female,white
1972,retired,never married,0.0,67.0,16.0,female,white
1972,working full time,married,5.0,41.0,12.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",divorced,4.0,72.0,2.0,male,white
1972,working full time,married,2.0,38.0,10.0,male,white
1972,working full time,married,3.0,59.0,12.0,female,white
1972,working full time,married,3.0,42.0,12.0,male,white
1972,working full time,married,4.0,48.0,12.0,male,white
1972,working full time,married,2.0,59.0,10.0,female,white
1972,keeping house,married,4.0,39.0,11.0,female,white
1972,keeping house,married,5.0,49.0,12.0,female,white
1972,keeping house,married,5.0,33.0,12.0,female,white
1972,working full time,widowed,5.0,53.0,11.0,female,white
1972,keeping house,married,1.0,30.0,12.0,female,white
1972,working full time,married,3.0,25.0,12.0,male,white
1972,working full time,divorced,3.0,36.0,9.0,female,white
1972,working full time,married,3.0,30.0,12.0,male,white
1972,working full time,married,3.0,28.0,9.0,male,white
1972,working full time,married,0.0,52.0,8.0,male,white
1972,working full time,married,0.0,44.0,10.0,male,white
1972,working full time,never married,0.0,50.0,18.0,male,white
1972,working full time,separated,5.0,38.0,18.0,female,white
1972,working part time,never married,0.0,26.0,18.0,male,white
1972,in school,married,0.0,28.0,12.0,female,white
1972,keeping house,married,1.0,81.0,14.0,female,white
1972,working part time,married,2.0,55.0,12.0,female,white
1972,retired,married,3.0,76.0,12.0,male,white
1972,working full time,married,1.0,29.0,12.0,male,white
1972,working full time,never married,0.0,19.0,10.0,male,white
1972,retired,never married,0.0,76.0,10.0,female,white
1972,working full time,never married,0.0,61.0,19.0,male,white
1972,working full time,married,0.0,26.0,16.0,male,white
1972,keeping house,divorced,5.0,39.0,14.0,female,white
1972,working full time,never married,0.0,19.0,9.0,male,white
1972,working full time,married,0.0,26.0,16.0,female,white
1972,keeping house,never married,0.0,21.0,12.0,female,white
1972,working full time,married,5.0,45.0,10.0,female,black
1972,keeping house,married,4.0,27.0,12.0,female,black
1972,retired,widowed,5.0,76.0,1.0,male,black
1972,keeping house,widowed,4.0,63.0,5.0,female,black
1972,working full time,married,4.0,52.0,6.0,male,black
1972,retired,married,8.0,65.0,1.0,male,black
1972,working full time,married,1.0,59.0,2.0,male,black
1972,working full time,married,4.0,41.0,16.0,female,white
1972,working full time,married,3.0,56.0,18.0,male,white
1972,working full time,married,1.0,62.0,15.0,male,white
1972,working full time,married,2.0,29.0,18.0,male,white
1972,working part time,married,0.0,25.0,16.0,female,white
1972,working part time,married,3.0,41.0,12.0,female,white
1972,working full time,divorced,4.0,49.0,12.0,female,white
1972,working full time,married,3.0,38.0,9.0,male,white
1972,working full time,married,5.0,50.0,12.0,male,white
1972,working full time,married,4.0,43.0,12.0,male,white
1972,working full time,married,1.0,32.0,13.0,male,white
1972,working full time,divorced,2.0,55.0,12.0,female,white
1972,working full time,married,3.0,27.0,14.0,female,white
1972,working full time,married,2.0,56.0,13.0,male,white
1972,keeping house,married,2.0,48.0,8.0,female,white
1972,working full time,married,8.0,56.0,10.0,male,white
1972,keeping house,married,1.0,44.0,3.0,female,white
1972,keeping house,divorced,3.0,25.0,9.0,female,white
1972,working full time,married,2.0,32.0,10.0,male,white
1972,keeping house,married,2.0,33.0,13.0,female,white
1972,working full time,married,6.0,48.0,11.0,male,white
1972,working full time,married,3.0,45.0,12.0,male,white
1972,keeping house,widowed,3.0,45.0,10.0,female,white
1972,retired,married,4.0,72.0,7.0,male,white
1972,keeping house,separated,1.0,45.0,9.0,female,black
1972,"with a job, but not at work because of temporary illness, vacation, strike",separated,0.0,70.0,6.0,female,black
1972,working full time,married,4.0,31.0,14.0,female,black
1972,other,never married,0.0,20.0,12.0,male,black
1972,keeping house,separated,1.0,22.0,9.0,female,black
1972,retired,married,2.0,63.0,4.0,male,black
1972,retired,married,2.0,70.0,6.0,male,black
1972,retired,married,6.0,68.0,11.0,male,white
1972,working part time,married,2.0,43.0,12.0,female,white
1972,working full time,married,1.0,53.0,17.0,female,white
1972,keeping house,married,3.0,44.0,12.0,female,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,3.0,37.0,15.0,female,white
1972,working full time,married,4.0,55.0,12.0,male,white
1972,working full time,married,2.0,52.0,14.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,2.0,64.0,10.0,male,white
1972,working full time,married,0.0,,12.0,male,white
1972,retired,never married,0.0,64.0,11.0,male,white
1972,working full time,never married,0.0,27.0,16.0,female,white
1972,working full time,married,2.0,28.0,14.0,male,white
1972,working part time,never married,0.0,22.0,15.0,male,white
1972,keeping house,married,3.0,61.0,14.0,female,white
1972,keeping house,widowed,2.0,82.0,15.0,female,white
1972,working part time,never married,0.0,22.0,12.0,male,white
1972,working full time,married,4.0,30.0,10.0,female,white
1972,working full time,married,3.0,29.0,12.0,female,white
1972,working part time,married,1.0,60.0,4.0,male,white
1972,keeping house,married,3.0,39.0,4.0,female,white
1972,keeping house,married,2.0,21.0,9.0,female,white
1972,other,married,4.0,56.0,7.0,male,white
1972,retired,married,8.0,72.0,5.0,male,white
1972,other,married,4.0,61.0,8.0,male,white
1972,working full time,divorced,0.0,71.0,20.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,6.0,56.0,9.0,female,white
1972,keeping house,married,3.0,71.0,5.0,female,white
1972,working full time,married,2.0,48.0,14.0,male,white
1972,keeping house,married,2.0,43.0,12.0,female,white
1972,working full time,never married,0.0,61.0,12.0,female,white
1972,retired,married,2.0,70.0,12.0,male,white
1972,working full time,separated,2.0,48.0,11.0,female,white
1972,keeping house,married,4.0,34.0,12.0,female,white
1972,in school,never married,0.0,19.0,12.0,male,white
1972,working full time,married,0.0,52.0,8.0,female,white
1972,working full time,married,3.0,30.0,14.0,male,white
1972,working full time,married,6.0,60.0,12.0,male,white
1972,working full time,married,2.0,50.0,16.0,male,white
1972,working full time,widowed,2.0,47.0,14.0,female,white
1972,keeping house,married,1.0,50.0,5.0,female,white
1972,keeping house,married,4.0,68.0,5.0,female,white
1972,working full time,divorced,0.0,50.0,12.0,male,white
1972,"unemployed, laid off, looking for work",separated,0.0,21.0,10.0,male,white
1972,keeping house,married,3.0,72.0,3.0,female,white
1972,working full time,married,2.0,52.0,12.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,3.0,32.0,12.0,female,white
1972,working full time,married,3.0,52.0,12.0,male,white
1972,retired,never married,0.0,60.0,12.0,female,white
1972,working full time,married,3.0,32.0,12.0,male,black
1972,retired,widowed,0.0,60.0,9.0,female,white
1972,keeping house,widowed,1.0,80.0,7.0,female,white
1972,working full time,married,0.0,58.0,8.0,male,black
1972,working full time,married,6.0,36.0,12.0,female,black
1972,working full time,married,1.0,31.0,12.0,female,black
1972,working full time,married,1.0,30.0,16.0,male,black
1972,working full time,married,2.0,63.0,16.0,male,white
1972,working full time,married,2.0,34.0,13.0,male,black
1972,keeping house,married,3.0,29.0,12.0,female,white
1972,keeping house,married,5.0,36.0,5.0,female,white
1972,keeping house,married,0.0,39.0,12.0,female,white
1972,retired,married,5.0,73.0,8.0,male,white
1972,working full time,married,3.0,38.0,10.0,male,white
1972,working full time,married,4.0,55.0,13.0,male,white
1972,working full time,married,4.0,30.0,12.0,male,white
1972,keeping house,married,5.0,44.0,12.0,female,white
1972,keeping house,married,5.0,43.0,8.0,female,white
1972,working full time,married,5.0,38.0,8.0,male,white
1972,keeping house,married,4.0,44.0,12.0,female,white
1972,retired,widowed,5.0,75.0,9.0,female,white
1972,working full time,married,3.0,43.0,18.0,male,white
1972,working full time,married,6.0,43.0,9.0,female,white
1972,working full time,married,3.0,27.0,12.0,male,white
1972,working full time,married,4.0,58.0,10.0,male,white
1972,working full time,married,7.0,45.0,12.0,male,white
1972,working full time,married,2.0,31.0,12.0,male,white
1972,other,married,3.0,23.0,12.0,female,white
1972,retired,widowed,0.0,69.0,7.0,male,white
1972,"unemployed, laid off, looking for work",separated,1.0,35.0,8.0,female,white
1972,keeping house,widowed,3.0,43.0,12.0,female,white
1972,keeping house,married,1.0,56.0,7.0,female,white
1972,keeping house,separated,7.0,36.0,11.0,female,black
1972,working part time,married,6.0,47.0,6.0,female,black
1972,working full time,married,2.0,29.0,14.0,male,black
1972,working full time,married,2.0,60.0,12.0,male,black
1972,working full time,married,2.0,37.0,10.0,female,black
1972,working full time,married,1.0,20.0,12.0,male,black
1972,keeping house,married,8.0,55.0,9.0,female,black
1972,other,widowed,7.0,71.0,,female,black
1972,working full time,married,2.0,30.0,11.0,male,black
1972,keeping house,married,1.0,59.0,9.0,female,black
1972,working full time,separated,0.0,42.0,12.0,female,black
1972,keeping house,separated,8.0,55.0,11.0,female,black
1972,working full time,married,0.0,24.0,12.0,male,black
1972,"unemployed, laid off, looking for work",separated,0.0,30.0,7.0,male,black
1972,working part time,never married,0.0,70.0,0.0,male,black
1972,keeping house,widowed,5.0,43.0,7.0,female,black
1972,working full time,married,0.0,45.0,11.0,male,white
1972,working full time,married,0.0,25.0,16.0,male,white
1972,keeping house,divorced,1.0,37.0,0.0,female,white
1972,"unemployed, laid off, looking for work",never married,0.0,22.0,14.0,male,white
1972,working full time,never married,0.0,27.0,8.0,female,white
1972,working full time,never married,0.0,28.0,18.0,female,white
1972,working full time,divorced,1.0,42.0,12.0,male,white
1972,keeping house,never married,0.0,42.0,3.0,female,white
1972,keeping house,married,3.0,40.0,12.0,female,white
1972,working full time,married,2.0,37.0,18.0,male,white
1972,working full time,never married,0.0,24.0,16.0,female,white
1972,working full time,married,0.0,46.0,12.0,male,white
1972,keeping house,married,1.0,53.0,12.0,female,white
1972,retired,married,1.0,64.0,11.0,male,white
1972,keeping house,married,0.0,20.0,13.0,female,white
1972,working full time,married,5.0,60.0,8.0,male,white
1972,working full time,married,2.0,33.0,16.0,male,white
1972,retired,never married,0.0,70.0,16.0,female,white
1972,"unemployed, laid off, looking for work",married,3.0,60.0,3.0,male,white
1972,keeping house,married,3.0,26.0,11.0,female,white
1972,"unemployed, laid off, looking for work",widowed,8.0,74.0,3.0,female,white
1972,working full time,married,3.0,33.0,11.0,female,white
1972,working full time,married,4.0,23.0,11.0,female,black
1972,working full time,never married,1.0,19.0,12.0,male,black
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,2.0,59.0,4.0,female,black
1972,keeping house,married,2.0,70.0,9.0,female,black
1972,working full time,married,7.0,52.0,2.0,male,black
1972,retired,widowed,0.0,,0.0,female,black
1972,retired,widowed,1.0,75.0,2.0,male,black
1972,keeping house,married,2.0,49.0,8.0,female,white
1972,working full time,married,4.0,49.0,8.0,male,white
1972,working full time,married,1.0,46.0,14.0,male,white
1972,working full time,widowed,1.0,45.0,12.0,female,white
1972,working full time,never married,0.0,28.0,17.0,female,white
1972,working full time,married,1.0,23.0,12.0,male,white
1972,working full time,married,5.0,64.0,12.0,male,white
1972,working part time,married,4.0,33.0,12.0,female,black
1972,keeping house,married,4.0,69.0,6.0,female,black
1972,retired,married,1.0,72.0,5.0,male,black
1972,working full time,married,1.0,59.0,8.0,male,black
1972,keeping house,married,2.0,69.0,6.0,female,black
1972,keeping house,married,0.0,58.0,9.0,female,black
1972,working full time,divorced,1.0,53.0,9.0,male,black
1972,working full time,widowed,1.0,62.0,5.0,male,black
1972,working full time,married,3.0,58.0,8.0,male,white
1972,keeping house,married,1.0,32.0,14.0,female,white
1972,keeping house,married,2.0,58.0,12.0,female,white
1972,keeping house,married,1.0,70.0,12.0,female,white
1972,working full time,married,2.0,69.0,8.0,male,white
1972,working full time,married,4.0,36.0,10.0,male,white
1972,working full time,married,7.0,47.0,9.0,male,white
1972,"unemployed, laid off, looking for work",married,4.0,31.0,12.0,male,white
1972,keeping house,widowed,5.0,81.0,5.0,female,white
1972,working full time,married,2.0,24.0,12.0,male,white
1972,working part time,married,5.0,51.0,12.0,female,white
1972,keeping house,widowed,1.0,69.0,3.0,female,white
1972,working part time,married,3.0,30.0,12.0,female,white
1972,working full time,never married,0.0,69.0,12.0,male,white
1972,working full time,married,6.0,45.0,11.0,male,white
1972,working full time,married,1.0,24.0,12.0,male,white
1972,retired,married,0.0,66.0,7.0,male,white
1972,keeping house,married,1.0,29.0,12.0,female,white
1972,keeping house,married,2.0,57.0,8.0,female,white
1972,other,married,1.0,58.0,8.0,male,white
1972,working part time,widowed,4.0,77.0,8.0,male,white
1972,keeping house,married,1.0,30.0,18.0,female,white
1972,working part time,widowed,2.0,56.0,12.0,female,white
1972,working full time,married,2.0,49.0,13.0,female,white
1972,keeping house,married,2.0,52.0,10.0,female,white
1972,working full time,married,5.0,40.0,7.0,male,white
1972,working full time,married,3.0,48.0,14.0,male,white
1972,keeping house,married,3.0,47.0,6.0,female,white
1972,working full time,married,0.0,31.0,14.0,male,white
1972,in school,never married,0.0,21.0,13.0,male,black
1972,retired,widowed,1.0,84.0,8.0,female,black
1972,retired,widowed,5.0,61.0,9.0,female,black
1972,working full time,separated,1.0,46.0,13.0,female,black
1972,working full time,separated,7.0,39.0,16.0,female,black
1972,working part time,divorced,0.0,64.0,11.0,female,black
1972,working part time,married,3.0,77.0,4.0,male,black
1972,"unemployed, laid off, looking for work",never married,,25.0,14.0,male,black
1972,working full time,separated,8.0,53.0,7.0,male,black
1972,working full time,married,3.0,52.0,10.0,male,black
1972,retired,never married,0.0,71.0,6.0,male,white
1972,working full time,married,3.0,52.0,8.0,male,white
1972,working full time,married,7.0,57.0,7.0,male,white
1972,keeping house,married,3.0,69.0,8.0,female,white
1972,keeping house,married,0.0,74.0,9.0,female,white
1972,keeping house,married,0.0,23.0,12.0,female,white
1972,keeping house,married,3.0,61.0,8.0,female,white
1972,keeping house,widowed,2.0,60.0,11.0,female,white
1972,keeping house,married,3.0,36.0,8.0,female,white
1972,working full time,married,3.0,58.0,17.0,male,white
1972,working part time,married,1.0,28.0,4.0,male,white
1972,"unemployed, laid off, looking for work",married,3.0,29.0,2.0,male,white
1972,working part time,married,3.0,25.0,11.0,male,white
1972,working full time,never married,0.0,57.0,12.0,male,white
1972,keeping house,married,2.0,26.0,12.0,female,white
1972,working full time,married,2.0,55.0,11.0,male,white
1972,working full time,never married,0.0,29.0,17.0,female,white
1972,retired,married,1.0,68.0,7.0,female,white
1972,in school,never married,0.0,18.0,12.0,female,white
1972,working full time,married,2.0,49.0,10.0,male,white
1972,retired,married,2.0,64.0,12.0,male,white
1972,working full time,married,6.0,38.0,12.0,male,white
1972,working full time,married,4.0,30.0,9.0,male,white
1972,retired,widowed,4.0,56.0,10.0,female,white
1972,working full time,married,1.0,20.0,12.0,female,white
1972,working part time,never married,0.0,19.0,12.0,male,white
1972,keeping house,married,0.0,50.0,9.0,female,white
1972,in school,married,0.0,38.0,14.0,male,white
1972,keeping house,married,1.0,64.0,12.0,female,white
1972,keeping house,married,0.0,74.0,11.0,female,white
1972,keeping house,widowed,2.0,75.0,12.0,female,white
1972,working full time,never married,0.0,22.0,11.0,male,white
1972,retired,widowed,2.0,75.0,8.0,male,white
1972,keeping house,widowed,2.0,79.0,12.0,female,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,2.0,60.0,7.0,male,white
1972,working full time,married,0.0,26.0,15.0,male,white
1972,retired,married,4.0,63.0,12.0,male,white
1972,keeping house,married,0.0,63.0,9.0,female,white
1972,working full time,married,5.0,34.0,12.0,female,white
1972,other,married,4.0,33.0,9.0,male,white
1972,retired,married,2.0,78.0,15.0,male,white
1972,keeping house,married,2.0,22.0,11.0,female,white
1972,working full time,never married,0.0,32.0,10.0,male,white
1972,working full time,never married,0.0,27.0,13.0,male,black
1972,working full time,married,2.0,35.0,15.0,female,black
1972,working full time,married,0.0,39.0,12.0,female,black
1972,keeping house,married,1.0,24.0,14.0,female,black
1972,working full time,never married,0.0,22.0,12.0,female,black
1972,working full time,married,4.0,28.0,12.0,male,black
1972,working full time,married,7.0,57.0,13.0,male,black
1972,working full time,married,4.0,48.0,14.0,male,black
1972,working full time,married,2.0,26.0,12.0,male,black
1972,working full time,widowed,1.0,50.0,8.0,female,white
1972,keeping house,married,5.0,32.0,12.0,female,white
1972,working part time,married,4.0,56.0,8.0,female,white
1972,working full time,never married,0.0,26.0,12.0,male,white
1972,working full time,married,2.0,30.0,12.0,female,white
1972,keeping house,widowed,4.0,83.0,4.0,male,white
1972,working part time,divorced,1.0,26.0,12.0,female,white
1972,working full time,never married,0.0,20.0,9.0,male,white
1972,working full time,married,2.0,41.0,12.0,male,white
1972,keeping house,married,0.0,56.0,7.0,female,white
1972,retired,married,5.0,83.0,6.0,female,white
1972,keeping house,married,4.0,27.0,5.0,female,white
1972,keeping house,married,1.0,21.0,5.0,female,white
1972,working full time,married,6.0,41.0,12.0,male,white
1972,working full time,married,4.0,35.0,12.0,male,white
1972,keeping house,married,8.0,57.0,9.0,female,white
1972,keeping house,married,6.0,42.0,12.0,female,white
1972,keeping house,married,6.0,54.0,10.0,female,white
1972,keeping house,married,2.0,24.0,12.0,female,white
1972,working part time,married,4.0,62.0,8.0,male,white
1972,working full time,married,3.0,39.0,8.0,male,white
1972,working part time,married,2.0,24.0,11.0,male,white
1972,keeping house,never married,0.0,66.0,12.0,female,white
1972,other,never married,0.0,25.0,12.0,male,white
1972,working part time,widowed,0.0,61.0,12.0,female,white
1972,working part time,widowed,1.0,62.0,11.0,female,white
1972,working full time,married,0.0,29.0,19.0,male,white
1972,working full time,married,1.0,27.0,16.0,male,white
1972,working part time,married,3.0,44.0,12.0,female,white
1972,working full time,married,1.0,44.0,12.0,male,white
1972,"with a job, but not at work because of temporary illness, vacation, strike",married,2.0,34.0,12.0,female,white
1972,working full time,married,2.0,23.0,11.0,male,white
1972,"unemployed, laid off, looking for work",widowed,1.0,58.0,12.0,female,white
1972,in school,never married,0.0,24.0,16.0,male,white
1972,working full time,married,1.0,34.0,11.0,female,white
1972,keeping house,married,3.0,42.0,12.0,female,white
1972,keeping house,married,3.0,32.0,12.0,female,white
1972,working full time,married,1.0,52.0,7.0,male,white
1972,working full time,never married,0.0,22.0,12.0,female,white
1972,working part time,married,1.0,35.0,10.0,female,white
1972,working full time,married,2.0,45.0,14.0,male,white
1972,keeping house,married,4.0,30.0,10.0,female,white
1972,keeping house,married,4.0,35.0,9.0,female,white
1972,working full time,married,0.0,36.0,8.0,male,white
1972,working full time,married,7.0,57.0,8.0,male,white
1972,working full time,separated,0.0,28.0,17.0,male,white
1972,working full time,married,7.0,42.0,16.0,female,white
1972,keeping house,married,2.0,23.0,12.0,female,white
1972,keeping house,married,0.0,53.0,15.0,female,white
1972,working full time,married,1.0,22.0,12.0,male,white
1972,working full time,married,2.0,60.0,12.0,male,white
1972,working full time,married,2.0,56.0,12.0,male,white
1972,working part time,never married,0.0,24.0,15.0,male,white
1972,working full time,married,1.0,26.0,12.0,male,white
1972,working full time,married,5.0,55.0,13.0,female,white
1972,working part time,never married,0.0,20.0,13.0,female,white
1972,keeping house,married,1.0,26.0,14.0,female,white
1972,working part time,married,3.0,36.0,12.0,female,white
1972,keeping house,married,5.0,42.0,11.0,female,white
1972,working full time,married,3.0,28.0,16.0,male,white
1972,working full time,married,2.0,54.0,12.0,male,white
1972,working full time,married,2.0,49.0,12.0,male,white
1972,working part time,married,3.0,40.0,16.0,female,white
1972,working full time,married,3.0,55.0,12.0,male,white
1972,retired,widowed,3.0,74.0,6.0,male,white
1972,working full time,married,2.0,48.0,8.0,male,white
1972,retired,widowed,2.0,63.0,12.0,female,white
1972,retired,widowed,4.0,72.0,10.0,male,white
1972,keeping house,married,5.0,30.0,11.0,female,white
1972,keeping house,married,0.0,78.0,8.0,female,white
1972,keeping house,married,5.0,44.0,8.0,female,white
1972,working full time,married,2.0,48.0,13.0,male,white
1972,keeping house,married,2.0,29.0,12.0,female,white
1972,in school,never married,0.0,21.0,13.0,male,white
1972,working full time,never married,0.0,20.0,13.0,female,white
1972,other,married,2.0,52.0,12.0,female,white
1972,working full time,married,4.0,40.0,14.0,male,white
1972,working full time,married,2.0,42.0,16.0,male,white
1972,working full time,married,2.0,54.0,14.0,male,white
1972,keeping house,married,3.0,43.0,12.0,female,white
1972,working full time,married,0.0,25.0,12.0,male,white
1972,keeping house,married,2.0,28.0,12.0,female,white
